,h1,art,price,price2,gold,gold2,weight,gems,gems2,url,d1,d0
64,Золотое кольцо с бриллиантами,Артикул: 280238,25990₽,51980₽,"Артикул: 280238;Кольцо с 6 бриллиантами, огранка круг 17 граней, 0.02 карат, цвет 2, чистота 2, тип огранки Б, 7 бриллиантами, огранка круг 17 граней, 0.03 карат, цвет 2, чистота 2, тип огранки Б;    
 585 пробы.

Невероятная привлекательность украшений из этой коллекции обусловлена использованием в изделиях сверкающего алмазного диска, который позволяет визуально увеличить и эффектно представить бриллианты взору окружающих.;Вес изделия: 1.86г;Кольцо с 6 бриллиантами, огранка круг 17 граней, 0.02 карат, цвет 2, чистота 2, тип огранки Б, 7 бриллиантами, огранка круг 17 граней, 0.03 карат, цвет 2, чистота 2, тип огранки Б;    
 585 пробы.;Невероятная привлекательность украшений из этой коллекции обусловлена использованием в изделиях сверкающего алмазного диска, который позволяет визуально увеличить и эффектно представить бриллианты взору окружающих.",,,,,https://sunlight.net//catalog/ring_280238.html,"7552-K5M-02&РОССИЯ&Розовое золото&Бриллиант&4,9 мм&1.86 г",Бриллианты Якутии&Бриллианты. Miracle
65,Золотой крест-подвеска с бриллиантами,Артикул: 50906,16990₽,,"Артикул: 50906;Подвеска с 4 бриллиантами, огранка круг 17 граней, 0.03 карат, цвет 2, чистота 2, тип огранки Б;    
 585 пробы.;Вес изделия: 2.33г;Подвеска с 4 бриллиантами, огранка круг 17 граней, 0.03 карат, цвет 2, чистота 2, тип огранки Б;    
 585 пробы.",,,,,https://sunlight.net//catalog/pendants_50906.html,"6347-P5M-01&РОССИЯ&Белое золото, Розовое золото&Бриллиант&2.33 г",Бриллианты Якутии&Христианство
66,Золотые серьги «Бриллианты Якутии»,Артикул: 275421,15990₽,,"Артикул: 275421;Серьги «Бриллианты Якутии» с 2 бриллиантами, огранка круг 57 граней, 0.10 карат, цвет 3, чистота 6, тип огранки А; 
Розовое золото 585 пробы;Вес изделия: 1.83г;Серьги «Бриллианты Якутии» с 2 бриллиантами, огранка круг 57 граней, 0.10 карат, цвет 3, чистота 6, тип огранки А; 
Розовое золото 585 пробы",,,,,https://sunlight.net//catalog/earring_275421.html,71221-С5R-01&РОССИЯ&Розовое золото&Бриллиант&1.83 г,Бриллианты Якутии&Бриллианты Якутии
67,Золотое кольцо с сапфирами и бриллиантами,Артикул: 125960,13990₽,27980₽,"Артикул: 125960;Кольцо с 10 бриллиантами, огранка круг 17 граней, 0.04 карат, цвет 2, чистота 2, тип огранки Б;
1 сапфиром синтетическим, 0.26 карат, тип огранки Б;    
Розовое золото 585 пробы.;Вес изделия: 1.07г;Кольцо с 10 бриллиантами, огранка круг 17 граней, 0.04 карат, цвет 2, чистота 2, тип огранки Б;
1 сапфиром синтетическим, 0.26 карат, тип огранки Б;    
Розовое золото 585 пробы.",,,,,https://sunlight.net//catalog/ring_125960.html,70597-K5R-01&РОССИЯ&Розовое золото&Бриллиант; Сапфир&1.07 г,SERGEY GRIBNYAKOV&Золото. Сапфиры
68,Золотая подвеска с бриллиантами,Артикул: 57784,1590₽,,"Артикул: 57784;Подвеска с 1 бриллиантом, огранка круг 17 граней,  карат, цвет 2, чистота 2, тип огранки Б;    
Белое золото 585 пробы.;Вес изделия: 0.12г;Подвеска с 1 бриллиантом, огранка круг 17 граней,  карат, цвет 2, чистота 2, тип огранки Б;    
Белое золото 585 пробы.",,,,,https://sunlight.net//catalog/pendants_57784.html,2747-P5W-02&РОССИЯ&Белое золото&Бриллиант&0.12 г,Бриллианты Якутии&Бриллианты. Fashion Diamonds
69,Золотое кольцо «Бриллианты Якутии»,Артикул: 313658,41990₽,139967₽,"Артикул: 313658;Кольцо «Бриллианты Якутии» с 5 бриллиантами, огранка круг 57 граней, 0.32 карат, цвет 3, чистота 6, тип огранки А; 
Белое золото 585 пробы;Вес изделия: 1.88г;Кольцо «Бриллианты Якутии» с 5 бриллиантами, огранка круг 57 граней, 0.32 карат, цвет 3, чистота 6, тип огранки А; 
Белое золото 585 пробы",,,,,https://sunlight.net//catalog/ring_313658.html,70545-K5W-01&РОССИЯ&Белое золото&Бриллиант&1.88 г,Бриллианты Якутии&Бриллианты Якутии
70,Золотая подвеска с бриллиантом,Артикул: 58552,1890₽,,"Артикул: 58552;Подвеска с 1 бриллиантом, огранка круг 17 граней,  карат, цвет 2, чистота 2, тип огранки Б;    
Белое золото 585 пробы.;Вес изделия: 0.29г;Подвеска с 1 бриллиантом, огранка круг 17 граней,  карат, цвет 2, чистота 2, тип огранки Б;    
Белое золото 585 пробы.",,,,,https://sunlight.net//catalog/pendants_58552.html,0574-P5W-01&РОССИЯ&Белое золото&Бриллиант&0.29 г,Бриллианты Якутии&Бриллианты. Fashion Diamonds
71,Золотые серьги с бриллиантами,Артикул: 51456,9990₽,,"Артикул: 51456;Серьги с 10 бриллиантами, огранка круг 17 граней, 0.02 карат, цвет 2, чистота 2, тип огранки Б;    
Розовое золото 585 пробы.;Вес изделия: 1.57г;Серьги с 10 бриллиантами, огранка круг 17 граней, 0.02 карат, цвет 2, чистота 2, тип огранки Б;    
Розовое золото 585 пробы.",,,,,https://sunlight.net//catalog/earring_51456.html,2651-C5R-02&РОССИЯ&Розовое золото&Бриллиант&1.57 г,Бриллианты Якутии&Бриллианты. Fashion Diamonds
72,Золотые серьги с изумрудами и бриллиантами,Артикул: 66871,24990₽,49980₽,"Артикул: 66871;Серьги с 12 бриллиантами, огранка круг 17 граней, 0.02 карат, цвет 2, чистота 2, тип огранки Б;
2 изумрудами, 0.13 карат, цвет 3, чистота 3, тип огранки В;    
Розовое золото 585 пробы.;Вес изделия: 1.75г;Серьги с 12 бриллиантами, огранка круг 17 граней, 0.02 карат, цвет 2, чистота 2, тип огранки Б;
2 изумрудами, 0.13 карат, цвет 3, чистота 3, тип огранки В;    
Розовое золото 585 пробы.",,,,,https://sunlight.net//catalog/earring_66871.html,0451-C5R-03&РОССИЯ&Розовое золото&Бриллиант; Изумруд&1.75 г,SERGEY GRIBNYAKOV&Золото. Изумруды
73,Золотое кольцо с изумрудом и бриллиантами,Артикул: 66502,16990₽,33980₽,"Артикул: 66502;Кольцо с 6 бриллиантами, огранка круг 17 граней, 0.01 карат, цвет 2, чистота 2, тип огранки Б;
1 изумрудом, 0.06 карат, цвет 3, чистота 3, тип огранки В;    
Розовое золото 585 пробы.;Вес изделия: 1.31г;Кольцо с 6 бриллиантами, огранка круг 17 граней, 0.01 карат, цвет 2, чистота 2, тип огранки Б;
1 изумрудом, 0.06 карат, цвет 3, чистота 3, тип огранки В;    
Розовое золото 585 пробы.",,,,,https://sunlight.net//catalog/ring_66502.html,0451-K5R-03&РОССИЯ&Розовое золото&Бриллиант; Изумруд&1.31 г,SERGEY GRIBNYAKOV&Золото. Изумруды
74,Золотое кольцо с изумрудами и бриллиантами,Артикул: 307734,32990₽,65980₽,"Артикул: 307734;Кольцо с 12 бриллиантами, огранка круг 17 граней, 0.05 карат, цвет 2, чистота 2, тип огранки Б;
2 изумрудами,  карат, цвет 3, чистота 3, тип огранки В;    
Розовое золото 585 пробы.;Вес изделия: 2.42г;Кольцо с 12 бриллиантами, огранка круг 17 граней, 0.05 карат, цвет 2, чистота 2, тип огранки Б;
2 изумрудами,  карат, цвет 3, чистота 3, тип огранки В;    
Розовое золото 585 пробы.",,,,,https://sunlight.net//catalog/ring_307734.html,71969-K5R-01&РОССИЯ&Розовое золото&Бриллиант; Изумруд&2.42 г,SERGEY GRIBNYAKOV&Золото. Изумруды
75,Золотое кольцо «Бриллианты Якутии»,Артикул: 275418,14990₽,149900₽,"Артикул: 275418;Кольцо «Бриллианты Якутии» с 5 бриллиантами, огранка круг 57 граней, 0.14 карат, цвет 3, чистота 6, тип огранки А; 
Розовое золото 585 пробы;Вес изделия: 1.07г;Кольцо «Бриллианты Якутии» с 5 бриллиантами, огранка круг 57 граней, 0.14 карат, цвет 3, чистота 6, тип огранки А; 
Розовое золото 585 пробы",,,,,https://sunlight.net//catalog/ring_275418.html,71259-K5R-01&РОССИЯ&Розовое золото&Бриллиант&1.07 г,Бриллианты Якутии&Бриллианты Якутии
76,Золотые серьги с сапфирами и бриллиантами,Артикул: 123837,20990₽,41980₽,"Артикул: 123837;Серьги с 10 бриллиантами, огранка круг 17 граней, 0.04 карат, цвет 2, чистота 2, тип огранки Б;
2 сапфирами синтетическими, 0.52 карат, тип огранки Б;    
Розовое золото 585 пробы.;Вес изделия: 2.0г;Серьги с 10 бриллиантами, огранка круг 17 граней, 0.04 карат, цвет 2, чистота 2, тип огранки Б;
2 сапфирами синтетическими, 0.52 карат, тип огранки Б;    
Розовое золото 585 пробы.",,,,,https://sunlight.net//catalog/earring_123837.html,70597-C5R-01&РОССИЯ&Розовое золото&Бриллиант; Сапфир&2.0 г,SERGEY GRIBNYAKOV&Золото. Сапфиры
77,Золотые серьги с бриллиантами,Артикул: 56508,6990₽,,"Артикул: 56508;Серьги с 2 бриллиантами, огранка круг 17 граней, 0.01 карат, цвет 2, чистота 2, тип огранки Б;    
Белое золото 585 пробы.;Вес изделия: 1.33г;Серьги с 2 бриллиантами, огранка круг 17 граней, 0.01 карат, цвет 2, чистота 2, тип огранки Б;    
Белое золото 585 пробы.",,,,,https://sunlight.net//catalog/earring_56508.html,2747-C5W-02&РОССИЯ&Белое золото&Бриллиант&1.33 г,Бриллианты Якутии&Бриллианты. Fashion Diamonds
78,Золотое кольцо «Бриллианты Якутии»,Артикул: 157318,33990₽,67980₽,"Артикул: 157318;Кольцо «Бриллианты Якутии» с 1 бриллиантом, огранка круг 57 граней, 0.04 карат, цвет 5, чистота 6, тип огранки А, 6 бриллиантами, огранка круг 57 граней, 0.11 карат, цвет 5, чистота 6, тип огранки А; 
Белое золото 585 пробы;Вес изделия: 1.21г;Кольцо «Бриллианты Якутии» с 1 бриллиантом, огранка круг 57 граней, 0.04 карат, цвет 5, чистота 6, тип огранки А, 6 бриллиантами, огранка круг 57 граней, 0.11 карат, цвет 5, чистота 6, тип огранки А; 
Белое золото 585 пробы",,,,,https://sunlight.net//catalog/ring_157318.html,"70672-K5W-01&РОССИЯ&Белое золото&Бриллиант&3,3 мм&1.21 г",Бриллианты Якутии&Бриллианты Якутии
79,Золотое кольцо «Бриллианты Якутии»,Артикул: 99436,18990₽,63300₽,"Артикул: 99436;Кольцо «Бриллианты Якутии» с 1 бриллиантом, огранка круг 57 граней, 0.10 карат, цвет 3, чистота 6, тип огранки А; 
Белое золото 585 пробы;Вес изделия: 1.67г;Кольцо «Бриллианты Якутии» с 1 бриллиантом, огранка круг 57 граней, 0.10 карат, цвет 3, чистота 6, тип огранки А; 
Белое золото 585 пробы",,,,,https://sunlight.net//catalog/ring_99436.html,70345-K5W-01&РОССИЯ&Белое золото&Бриллиант&1.67 г,Бриллианты Якутии&Бриллианты Якутии
80,Золотое кольцо «Бриллианты Якутии»,Артикул: 58133,65990₽,131980₽,"Артикул: 58133;Кольцо «Бриллианты Якутии» с 6 бриллиантами, огранка круг 57 граней, 0.05 карат, цвет 3, чистота 6, тип огранки А, 1 бриллиантом, огранка круг 57 граней, 0.07 карат, цвет 3, чистота 6, тип огранки А, 6 бриллиантами, огранка круг 57 граней, 0.02 карат, цвет 3, чистота 6, тип огранки А, 12 бриллиантами, огранка круг 57 граней, 0.04 карат, цвет 3, чистота 6, тип огранки А, 6 бриллиантами, огранка круг 57 граней, 0.10 карат, цвет 3, чистота 6, тип огранки А; 
Белое золото 585 пробы;Вес изделия: 1.99г;Кольцо «Бриллианты Якутии» с 6 бриллиантами, огранка круг 57 граней, 0.05 карат, цвет 3, чистота 6, тип огранки А, 1 бриллиантом, огранка круг 57 граней, 0.07 карат, цвет 3, чистота 6, тип огранки А, 6 бриллиантами, огранка круг 57 граней, 0.02 карат, цвет 3, чистота 6, тип огранки А, 12 бриллиантами, огранка круг 57 граней, 0.04 карат, цвет 3, чистота 6, тип огранки А, 6 бриллиантами, огранка круг 57 граней, 0.10 карат, цвет 3, чистота 6, тип огранки А; 
Белое золото 585 пробы",,,,,https://sunlight.net//catalog/ring_58133.html,2804-K5W-02&РОССИЯ&Белое золото&Бриллиант&1.99 г,Бриллианты Якутии&Бриллианты Якутии
81,Золотая подвеска с изумрудом и бриллиантами,Артикул: 66503,8490₽,16980₽,"Артикул: 66503;Подвеска с 6 бриллиантами, огранка круг 17 граней, 0.01 карат, цвет 2, чистота 2, тип огранки Б;
1 изумрудом, 0.06 карат, цвет 3, чистота 3, тип огранки В;    
Розовое золото 585 пробы.;Вес изделия: 0.53г;Подвеска с 6 бриллиантами, огранка круг 17 граней, 0.01 карат, цвет 2, чистота 2, тип огранки Б;
1 изумрудом, 0.06 карат, цвет 3, чистота 3, тип огранки В;    
Розовое золото 585 пробы.",,,,,https://sunlight.net//catalog/pendants_66503.html,0451-P5R-03&РОССИЯ&Розовое золото&Бриллиант; Изумруд&0.53 г,SERGEY GRIBNYAKOV&Золото. Изумруды
82,Золотые серьги с бриллиантами,Артикул: 55920,6990₽,,"Артикул: 55920;Серьги с 2 бриллиантами, огранка круг 17 граней, 0.01 карат, цвет 2, чистота 2, тип огранки Б;    
Розовое золото 585 пробы.;Вес изделия: 1.36г;Серьги с 2 бриллиантами, огранка круг 17 граней, 0.01 карат, цвет 2, чистота 2, тип огранки Б;    
Розовое золото 585 пробы.",,,,,https://sunlight.net//catalog/earring_55920.html,2747-C5R-02&РОССИЯ&Розовое золото&Бриллиант&1.36 г,Бриллианты Якутии&Бриллианты. Fashion Diamonds
83,Золотое кольцо с бриллиантами,Артикул: 76111,39990₽,79980₽,"Артикул: 76111;Кольцо с 86 бриллиантами, огранка круг 17 граней, 0.05 карат, цвет 2, чистота 2, тип огранки Б;    
Розовое золото 585 пробы.;Вес изделия: 2.3г;Кольцо с 86 бриллиантами, огранка круг 17 граней, 0.05 карат, цвет 2, чистота 2, тип огранки Б;    
Розовое золото 585 пробы.",,,,,https://sunlight.net//catalog/ring_76111.html,7466-K5R-01&РОССИЯ&Розовое золото&Бриллиант&2.3 г,Бриллианты Якутии&Бриллианты. Fashion Diamonds
84,Золотые серьги с топазами и бриллиантами,Артикул: 272173,27990₽,55980₽,"Артикул: 272173;Серьги с 10 бриллиантами, огранка круг 17 граней, 0.04 карат, цвет 2, чистота 2, тип огранки Б;
1 топазом, 1.34 карат, тип огранки Б;1 топазом голубым, 1.34 карат, тип огранки Б;    
Розовое золото 585 пробы.;Вес изделия: 2.83г;Серьги с 10 бриллиантами, огранка круг 17 граней, 0.04 карат, цвет 2, чистота 2, тип огранки Б;
1 топазом, 1.34 карат, тип огранки Б;1 топазом голубым, 1.34 карат, тип огранки Б;    
Розовое золото 585 пробы.",,,,,https://sunlight.net//catalog/earring_272173.html,71177-C5R-01&РОССИЯ&Розовое золото&Бриллиант; Топаз&2.83 г,SERGEY GRIBNYAKOV&ЗОЛОТО. ТОПАЗЫ
85,Золотое кольцо «Бриллианты Якутии»,Артикул: 108792,8990₽,89900₽,"Артикул: 108792;Кольцо «Бриллианты Якутии» с 1 бриллиантом, огранка круг 57 граней, 0.04 карат, цвет 4, чистота 6, тип огранки А; 
Розовое золото 585 пробы;Вес изделия: 0.94г;Кольцо «Бриллианты Якутии» с 1 бриллиантом, огранка круг 57 граней, 0.04 карат, цвет 4, чистота 6, тип огранки А; 
Розовое золото 585 пробы",,,,,https://sunlight.net//catalog/ring_108792.html,"70530-K5R-01&РОССИЯ&Розовое золото&Бриллиант&1,6 мм&0.94 г",Бриллианты Якутии&Бриллианты Якутии
86,Золотое кольцо с бриллиантами,Артикул: 58184,4990₽,,"Артикул: 58184;Кольцо с 5 бриллиантами, огранка круг 17 граней, 0.01 карат, цвет 2, чистота 2, тип огранки Б;    
Белое золото 585 пробы.;Вес изделия: 0.75г;Кольцо с 5 бриллиантами, огранка круг 17 граней, 0.01 карат, цвет 2, чистота 2, тип огранки Б;    
Белое золото 585 пробы.",,,,,https://sunlight.net//catalog/ring_58184.html,2651-K5W-02&РОССИЯ&Белое золото&Бриллиант&0.75 г,Бриллианты Якутии&Бриллианты. Fashion Diamonds
87,Золотое кольцо «Бриллианты Якутии»,Артикул: 112488,39990₽,133300₽,"Артикул: 112488;Кольцо «Бриллианты Якутии» с 5 бриллиантами, огранка круг 57 граней, 0.34 карат, цвет 3, чистота 6, тип огранки А; 
Розовое золото 585 пробы;Вес изделия: 1.95г;Кольцо «Бриллианты Якутии» с 5 бриллиантами, огранка круг 57 граней, 0.34 карат, цвет 3, чистота 6, тип огранки А; 
Розовое золото 585 пробы",,,,,https://sunlight.net//catalog/ring_112488.html,70545-K5R-01&РОССИЯ&Розовое золото&Бриллиант&1.95 г,Бриллианты Якутии&Бриллианты Якутии
88,Золотое кольцо «Бриллианты Якутии»,Артикул: 99435,18990₽,63300₽,"Артикул: 99435;Кольцо «Бриллианты Якутии» с 1 бриллиантом, огранка круг 57 граней, 0.09 карат, цвет 3, чистота 6, тип огранки А; 
Розовое золото 585 пробы;Вес изделия: 1.53г;Кольцо «Бриллианты Якутии» с 1 бриллиантом, огранка круг 57 граней, 0.09 карат, цвет 3, чистота 6, тип огранки А; 
Розовое золото 585 пробы",,,,,https://sunlight.net//catalog/ring_99435.html,"70345-K5R-01&РОССИЯ&Розовое золото&Бриллиант&1,7 мм&1.53 г",Бриллианты Якутии&Бриллианты Якутии
89,Золотая подвеска с бриллиантами,Артикул: 51455,3190₽,,"Артикул: 51455;Подвеска с 5 бриллиантами, огранка круг 17 граней, 0.01 карат, цвет 2, чистота 2, тип огранки Б;    
Розовое золото 585 пробы.;Вес изделия: 0.4г;Подвеска с 5 бриллиантами, огранка круг 17 граней, 0.01 карат, цвет 2, чистота 2, тип огранки Б;    
Розовое золото 585 пробы.",,,,,https://sunlight.net//catalog/pendants_51455.html,2651-P5R-02&РОССИЯ&Розовое золото&Бриллиант&0.4 г,Бриллианты Якутии&Бриллианты. Fashion Diamonds
90,Золотое кольцо с коньячными бриллиантами и бриллиантами,Артикул: 281087,116990₽,233980₽,"Артикул: 281087;Кольцо с 119 бриллиантами, огранка круг 17 граней, 0.22 карат, цвет 2, чистота 2, тип огранки Б;
32 бриллиантами коньячными, огранка круг 57 граней, 0.45 карат, цвет 7, чистота 7, тип огранки А;    
Розовое золото 585 пробы.

Уникальная коллекция с коньячными и черными бриллиантами превосходна в тонкости ювелирной работы. Ведь украшения из этой коллекции – гармония цвета и фактуры, выразительность линий и совершенство в деталях.;Вес изделия: 5.17г;Кольцо с 119 бриллиантами, огранка круг 17 граней, 0.22 карат, цвет 2, чистота 2, тип огранки Б;
32 бриллиантами коньячными, огранка круг 57 граней, 0.45 карат, цвет 7, чистота 7, тип огранки А;    
Розовое золото 585 пробы.;Уникальная коллекция с коньячными и черными бриллиантами превосходна в тонкости ювелирной работы. Ведь украшения из этой коллекции – гармония цвета и фактуры, выразительность линий и совершенство в деталях.",,,,,https://sunlight.net//catalog/ring206665.html,0656-K5R-02&РОССИЯ&Розовое золото&Бриллиант; Коньячный бриллиант&5.17 г,SERGEY GRIBNYAKOV&Коньячные и черные бриллианты
91,Золотое кольцо с бриллиантами,Артикул: 157335,24990₽,49980₽,"Артикул: 157335;Кольцо с 54 бриллиантами, огранка круг 17 граней, 0.12 карат, цвет 2, чистота 2, тип огранки Б;    
Розовое золото 585 пробы.;Вес изделия: 1.23г;Кольцо с 54 бриллиантами, огранка круг 17 граней, 0.12 карат, цвет 2, чистота 2, тип огранки Б;    
Розовое золото 585 пробы.",,,,,https://sunlight.net//catalog/ring_157335.html,70683-K5R-01&РОССИЯ&Розовое золото&Бриллиант&1.23 г,Бриллианты Якутии&Бриллианты. Классика
92,Золотое кольцо «Бриллианты Якутии»,Артикул: 71585,40990₽,81980₽,"Артикул: 71585;Кольцо «Бриллианты Якутии» с 1 бриллиантом, огранка круг 57 граней, 0.12 карат, цвет 3, чистота 6, тип огранки А; 
Розовое золото 585 пробы;Вес изделия: 1.75г;Кольцо «Бриллианты Якутии» с 1 бриллиантом, огранка круг 57 граней, 0.12 карат, цвет 3, чистота 6, тип огранки А; 
Розовое золото 585 пробы",,,,,https://sunlight.net//catalog/ring_71585.html,3598-K5R-01&РОССИЯ&Розовое золото&Бриллиант&1.75 г,Бриллианты Якутии&Бриллианты Якутии
93,Золотое кольцо с бриллиантами,Артикул: 53651,43990₽,87980₽,"Артикул: 53651;Кольцо с 22 бриллиантами, огранка круг 17 граней, 0.09 карат, цвет 2, чистота 3, тип огранки Б;    
 585 пробы.

Невероятная привлекательность украшений из этой коллекции обусловлена использованием в изделиях сверкающего алмазного диска, который позволяет визуально увеличить и эффектно представить бриллианты взору окружающих.;Вес изделия: 2.72г;Кольцо с 22 бриллиантами, огранка круг 17 граней, 0.09 карат, цвет 2, чистота 3, тип огранки Б;    
 585 пробы.;Невероятная привлекательность украшений из этой коллекции обусловлена использованием в изделиях сверкающего алмазного диска, который позволяет визуально увеличить и эффектно представить бриллианты взору окружающих.",,,,,https://sunlight.net//catalog/ring_53651.html,"3444-K5M-01&Белое золото, Розовое золото&Бриллиант&2.72 г",SUNLIGHT&Бриллианты. Miracle
94,Золотое кольцо с топазами и бриллиантами,Артикул: 272086,17990₽,35980₽,"Артикул: 272086;Кольцо с 12 бриллиантами, огранка круг 17 граней, 0.05 карат, цвет 2, чистота 2, тип огранки Б;
1 топазом, 1.22 карат, тип огранки Б;    
Розовое золото 585 пробы.;Вес изделия: 1.47г;Кольцо с 12 бриллиантами, огранка круг 17 граней, 0.05 карат, цвет 2, чистота 2, тип огранки Б;
1 топазом, 1.22 карат, тип огранки Б;    
Розовое золото 585 пробы.",,,,,https://sunlight.net//catalog/ring_272086.html,71177-K5R-01&РОССИЯ&Розовое золото&Бриллиант; Топаз&1.47 г,SERGEY GRIBNYAKOV&ЗОЛОТО. ТОПАЗЫ
95,Золотое кольцо с бриллиантами,Артикул: 56869,16990₽,33980₽,"Артикул: 56869;Кольцо с 32 бриллиантами, огранка круг 17 граней, 0.05 карат, цвет 2, чистота 2, тип огранки Б;    
Розовое золото 585 пробы.;Вес изделия: 1.35г;Кольцо с 32 бриллиантами, огранка круг 17 граней, 0.05 карат, цвет 2, чистота 2, тип огранки Б;    
Розовое золото 585 пробы.",,,,,https://sunlight.net//catalog/ring_56869.html,"4171-K5R-03&РОССИЯ&Розовое золото&Бриллиант&5,2 мм&1.35 г",Бриллианты Якутии&Бриллианты. Классика
96,Золотое кольцо с топазом и бриллиантами,Артикул: 157565,24990₽,49980₽,"Артикул: 157565;Кольцо с 8 бриллиантами, огранка круг 17 граней, 0.03 карат, цвет 2, чистота 2, тип огранки Б;
1 топазом, 1.92 карат, тип огранки Б;    
Розовое золото 585 пробы.;Вес изделия: 2.23г;Кольцо с 8 бриллиантами, огранка круг 17 граней, 0.03 карат, цвет 2, чистота 2, тип огранки Б;
1 топазом, 1.92 карат, тип огранки Б;    
Розовое золото 585 пробы.",,,,,https://sunlight.net//catalog/ring_157565.html,70637-K5R-02&РОССИЯ&Розовое золото&Бриллиант; Топаз&2.23 г,SERGEY GRIBNYAKOV&ЗОЛОТО. ТОПАЗЫ
97,Золотые серьги с бриллиантами,Артикул: 70808,53990₽,107980₽,"Артикул: 70808;Серьги с 38 бриллиантами, огранка круг 17 граней, 0.12 карат, цвет 2, чистота 3, тип огранки Б;    
Розовое золото 585 пробы.

Невероятная привлекательность украшений из этой коллекции обусловлена использованием в изделиях сверкающего алмазного диска, который позволяет визуально увеличить и эффектно представить бриллианты взору окружающих.;Вес изделия: 3.51г;Серьги с 38 бриллиантами, огранка круг 17 граней, 0.12 карат, цвет 2, чистота 3, тип огранки Б;    
Розовое золото 585 пробы.;Невероятная привлекательность украшений из этой коллекции обусловлена использованием в изделиях сверкающего алмазного диска, который позволяет визуально увеличить и эффектно представить бриллианты взору окружающих.",,,,,https://sunlight.net//catalog/earring_70808.html,7539-C5R-01&Розовое золото&Бриллиант&3.51 г,SUNLIGHT&Бриллианты. Miracle
98,Золотое кольцо «Бриллианты Якутии»,Артикул: 57970,34990₽,69980₽,"Артикул: 57970;Кольцо «Бриллианты Якутии» с 6 бриллиантами, 0.02 карат, цвет 3, чистота 5, тип огранки А, 3 бриллиантами, 0.03 карат, цвет 3, чистота 5, тип огранки А, 3 бриллиантами, 0.03 карат, цвет 3, чистота 5, тип огранки А, 1 бриллиантом, 0.04 карат, цвет 3, чистота 5, тип огранки А; 
Розовое золото 585 пробы;Вес изделия: 1.68г;Кольцо «Бриллианты Якутии» с 6 бриллиантами, 0.02 карат, цвет 3, чистота 5, тип огранки А, 3 бриллиантами, 0.03 карат, цвет 3, чистота 5, тип огранки А, 3 бриллиантами, 0.03 карат, цвет 3, чистота 5, тип огранки А, 1 бриллиантом, 0.04 карат, цвет 3, чистота 5, тип огранки А; 
Розовое золото 585 пробы",,,,,https://sunlight.net//catalog/ring_57970.html,2065-K5R-04&РОССИЯ&Розовое золото&Бриллиант&1.68 г,Бриллианты Якутии&Бриллианты Якутии
99,Золотое кольцо с топазами и бриллиантами,Артикул: 123836,14990₽,29980₽,"Артикул: 123836;Кольцо с 10 бриллиантами, огранка круг 17 граней, 0.04 карат, цвет 2, чистота 2, тип огранки Б;
1 топазом, 0.97 карат, тип огранки В;    
Розовое золото 585 пробы.;Вес изделия: 1.38г;Кольцо с 10 бриллиантами, огранка круг 17 граней, 0.04 карат, цвет 2, чистота 2, тип огранки Б;
1 топазом, 0.97 карат, тип огранки В;    
Розовое золото 585 пробы.",,,,,https://sunlight.net//catalog/ring_123836.html,70576-K5R-03&РОССИЯ&Розовое золото&Бриллиант; Топаз&1.38 г,SERGEY GRIBNYAKOV&ЗОЛОТО. ТОПАЗЫ
100,Золотое кольцо с бриллиантами,Артикул: 51515,19990₽,39980₽,"Артикул: 51515;Кольцо с 1 бриллиантом, огранка круг 57 граней, 0.03 карат, цвет 4, чистота 5, тип огранки А, 30 бриллиантами, огранка круг 17 граней, 0.05 карат, цвет 2, чистота 2, тип огранки Б;    
 585 пробы.

Невероятная привлекательность украшений из этой коллекции обусловлена использованием в изделиях сверкающего алмазного диска, который позволяет визуально увеличить и эффектно представить бриллианты взору окружающих.;Вес изделия: 0.97г;Кольцо с 1 бриллиантом, огранка круг 57 граней, 0.03 карат, цвет 4, чистота 5, тип огранки А, 30 бриллиантами, огранка круг 17 граней, 0.05 карат, цвет 2, чистота 2, тип огранки Б;    
 585 пробы.;Невероятная привлекательность украшений из этой коллекции обусловлена использованием в изделиях сверкающего алмазного диска, который позволяет визуально увеличить и эффектно представить бриллианты взору окружающих.",,,,,https://sunlight.net//catalog/ring_51515.html,"0275-K5M-02&РОССИЯ&Белое золото, Розовое золото&Бриллиант&0.97 г",Бриллианты Якутии&Бриллианты. Miracle
